,time,open,high,low,close,volume,daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,macd_short_window,macd_long_window,macd,macd_signal,macd_crossover_long,macd_crossover_short,macd_crossover_signal,rsi,rsi_long,rsi_short,rsi_signal,fast_volatility,slow_volatility,volatility_trend_long,volatility_trend_short,volatility_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal
56,2020-05-20,223.5,231.34,223.19,229.95,46541604,0.060263740317226144,222.0020050804024,209.35783834971895,1.0,0.0,1.0,211.43748866816188,201.07029696760245,10.367191700559431,9.413769494617982,1.0,0.0,1.0,75.78029620088591,0.0,-1.0,-1.0,0.02965483613385533,0.02611529870770038,0.0,-1.0,-1.0,204.8665,11.726163852010878,228.31882770402177,181.41417229597823,0.0,-1.0,-1.0
57,2020-05-21,234.72,237.2,231.2,231.37,87138160,0.00617525549032405,226.6860025402012,212.20821851308557,1.0,0.0,1.0,214.50402887306007,203.3147194144467,11.189309458613366,9.76887748741706,1.0,0.0,1.0,76.36788238846982,0.0,-1.0,-1.0,0.028138227728176264,0.024545750995933896,0.0,-1.0,-1.0,207.1775,12.181599961892315,231.54069992378464,182.81430007621537,0.0,0.0,0.0
58,2020-05-22,231.51,235.99,228.74,234.92,63611004,0.015343389376323513,230.8030012701006,215.14907057723133,1.0,0.0,1.0,217.6449475079739,205.65585130967287,11.989096198301041,10.212921229593857,1.0,0.0,1.0,77.81682488547307,0.0,-1.0,-1.0,0.020250237958751076,0.02290941087482787,1.0,0.0,1.0,209.4185,12.971628666561246,235.36175733312248,183.4752426668775,0.0,0.0,0.0
59,2020-05-26,239.77,240.9,231.67,232.16,30555905,-0.011748680401838851,231.48150063505028,217.35166355124343,1.0,0.0,1.0,219.87803250674716,207.61912158303042,12.25891092371674,10.622119168418433,1.0,0.0,1.0,74.01715130014203,0.0,-1.0,-1.0,0.023373641400275896,0.023153434346128095,0.0,-1.0,-1.0,211.6495,12.847198537547134,237.34389707509425,185.95510292490573,0.0,0.0,0.0
60,2020-05-27,229.07,230.56,221.1347,229.15,64595801,-0.01296519641626459,230.31575031752516,218.8792762324255,1.0,0.0,1.0,221.30448904417068,209.21400146576892,12.090487578401763,10.9157928504151,1.0,0.0,1.0,70.00266960025745,0.0,-1.0,-1.0,0.01930812623486292,0.023095938396233952,1.0,0.0,1.0,213.964,11.485124658489683,236.93424931697936,190.99375068302064,0.0,0.0,0.0
61,2020-05-28,224.3,231.6332,224.0,225.33,27478541,-0.016670303294785027,227.8228751587626,219.71447332197238,1.0,0.0,1.0,221.92379842199057,210.40777913497124,11.516019287019333,11.035838137735947,1.0,0.0,1.0,65.17166466610308,1.0,0.0,1.0,0.015463118806393129,0.02312884273974063,1.0,0.0,1.0,215.531,10.72961759263608,236.99023518527216,194.07176481472786,0.0,0.0,0.0
62,2020-05-29,225.2,227.49,222.88,224.21,18706304,-0.004970487729108464,226.01643757938132,220.29651046845004,1.0,0.0,1.0,222.27552174168434,211.43016586571412,10.845355875970228,10.997741685382803,0.0,-1.0,-1.0,63.78184234775968,1.0,0.0,1.0,0.011491217555731691,0.021821869176670255,1.0,0.0,1.0,216.506,10.579492774628475,237.66498554925695,195.34701445074305,0.0,0.0,0.0
63,2020-06-01,224.59,232.44,223.5,231.94,33886754,0.034476606752597894,228.97821878969066,221.8039650078176,1.0,0.0,1.0,223.76236455065597,212.94941283862417,10.812951712031804,10.960783690712603,0.0,-1.0,-1.0,68.73719496768634,1.0,0.0,1.0,0.027167263325741726,0.02309635126666378,0.0,-1.0,-1.0,217.98899999999998,10.559184527923156,239.10736905584628,196.87063094415367,0.0,0.0,0.0
64,2020-06-02,230.94,233.0,226.56,232.83,36197240,0.0038371992756747186,230.90410939484534,223.23145328057237,1.0,0.0,1.0,225.1573853890166,214.42204892465202,10.735336464364593,10.915694245443001,0.0,-1.0,-1.0,69.2587084201423,1.0,0.0,1.0,0.020066901149965465,0.02158110873951716,1.0,0.0,1.0,219.36849999999998,10.608063107595637,240.58462621519126,198.1523737848087,0.0,0.0,0.0
65,2020-06-03,232.11,232.65,228.53,230.06,28224941,-0.011897092299102408,230.48205469742265,224.11549875298795,1.0,0.0,1.0,225.9116337907064,215.58041567097408,10.331218119732313,10.798799020300864,0.0,-1.0,-1.0,65.5913081576091,1.0,0.0,1.0,0.018933671798111743,0.021156715096864252,1.0,0.0,1.0,220.5175,10.450348709870369,241.41819741974075,199.61680258025928,0.0,0.0,0.0
